Link(url='https://twitter.com/ThePuneMirror', text='Follow', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ipl-2015/Lendl-Simmons/punephotos/47267298.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ipl-2015/AB-de-Villiers/punephotos/47249074.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ipl-2015/Andre-Russell/punephotos/47223048.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/reese-witherspoon/punephotos/47213964.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/blake-lively/punephotos/47213957.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/lindsay-lohan/punephotos/47213948.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/elizabeth-banks/punephotos/47213943.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/aditi-rao-hydari/punephotos/47188378.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/kyra-dutt/punephotos/47188360.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/amy-jackson/punephotos/47188347.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/meenakshi-dixit/punephotos/47188295.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/kate/punephotos/47176590.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/kim/punephotos/47176561.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/jennifer/punephotos/47176527.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/queen-bey/punephotos/47176498.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/boxing/Amir-Khan/punephotos/47163432.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/boxing/Mayweather-Jr-/punephotos/47163406.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/boxing/Floyd-Mayweather/punephotos/47163292.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/boxing/Manny-Pacquiao/punephotos/47163289.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/news/nepal-tragedy/punephotos/47113044.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/news/nepal-tragedy/punephotos/47113010.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/news/nepal-tragedy/Patan-Durbar-Square/punephotos/47110159.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/news/nepal-tragedy/Pagoda-Temple/punephotos/47110187.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/alia-bhatt/punephotos/47110883.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/shruti-haasan/punephotos/47110863.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/ariana-grande/punephotos/47110840.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/blake-lively/punephotos/47110814.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/sara-loren/punephotos/47040862.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/sandra-bullock/punephotos/47040850.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/sarah-jane-dias/punephotos/47029231.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/miley-cyrus/punephotos/47029205.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/paris-hilton-and-nicole-richie/punephotos/47029166.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/konkona-sen-sharma/punephotos/47016756.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/preity-zinta/punephotos/47016734.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/richa-chadda/punephotos/47016647.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/dia-mirza/punephotos/47016637.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/penelope-cruz/punephotos/47002131.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/akshay-kumar/punephotos/47002110.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/freida-pinto/punephotos/46978255.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/varun-dhawan/punephotos/46960390.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/anushka-sharma/punephotos/46945588.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/akshay-oberoi/punephotos/46978412.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/preity-zinta/punephotos/46945568.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/richa-chadda/punephotos/46936508.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/divya-dutta/punephotos/46936532.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/priyanka-chopra/punephotos/46920575.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/ekta-kapoor/punephotos/46919571.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/scarlett-johansson/punephotos/46919543.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/salman-khan/punephotos/46889994.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/jacqueline-fernandez/punephotos/46889977.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/anushka-sharma/punephotos/46877432.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/idris-elba/punephotos/46877475.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/ekta-kapoor/punephotos/46863966.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/jacqueline-fernandez/punephotos/46863623.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/sunny-leone/punephotos/46863504.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/anushka-sharma/punephotos/46863454.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/lisa-ray/punephotos/46837848.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/beyonce/punephotos/46837834.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/katy-perry/punephotos/46808983.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/jessica-alba/punephotos/46808943.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/vidya-balan/punephotos/46798708.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/madhurima-tuli/punephotos/46770487.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/salma-hayek/punephotos/46770135.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/mariah-carey/punephotos/46770111.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/angelina-jolie/punephotos/46770090.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/peecee/punephotos/46726391.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ball-talk/Ball-Talk-March-28/punephotos/46726445.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/chitrangada-singh/punephotos/46676826.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/cricket-world-cup-2015/MS-Dhoni/punephotos/46715160.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/divya-dutta/punephotos/46714946.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ball-talk/Ball-Talk-March-27/punephotos/46715068.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/zoe-saldana/punephotos/46677072.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ball-talk/Ball-Talk-March-26/punephotos/46702925.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/uma-thurman/punephotos/46688947.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ball-talk/Ball-Talk-March-25/punephotos/46688820.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/sunny-leone/punephotos/46676709.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ball-talk/Ball-Talk-March-24/punephotos/46676765.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/punephotos/46676578.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ball-talk/Ball-Talk-March-23/punephotos/46676377.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/nargis-fakhri/punephotos/46676481.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ball-talk/Ball-Talk-March-22/punephotos/46652786.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/entertainment/lauren-gottlieb/punephotos/46645580.cms', text=u'', fragment='', nofollow=False)
Link(url='http://www.punemirror.in/photos/sports/ball-talk/Ball-Talk-March-21/punephotos/46645618.cms', text=u'', fragment='', nofollow=False)
